ano,nome,funcao,tipo_atividade,local,link
2023,XVII Women in Information Technology (WIT),Participante,Representação e ampliação de alcance,João Pessoa - PB
2023,Copa do Mundo de Futebol Feminino,Organização,Promoção de eventos,IF Goiano - Campus Ceres,
2023,XII Seminário Interno de Iniciação Científica (SIIC),Participante,Divulgação Científica,IF Goiano - Campus Ceres,
2023,IX Encontro Anual de Tecnologia da Informação do Oeste Goiano (ENATI),Participante,Construção humana,IF Goiano - Campus Iporá,
2023,Campus Party Goiás,Participante,Capacitação Tecnológica,Goiânia - GO,
2023,Acolhimento de Calouras,Organização,Promoção de eventos,IF Goiano - Campus Ceres,
2023,Campus Party Brasília,Participante,Capacitação Tecnológica,Brasília - DF,
2023,Ação "Procura-se Cientistas",Organização,Representação e ampliação de alcance,IF Goiano - Campus Ceres,
2023,Presença no Baú da Ciência,Organização,Representação e ampliação de alcance,IF Goiano - Campus Ceres,
2022,XVIII Semana Nacional de Ciência e Tecnologia,Participante,Representação e ampliação de alcance,Brasília - DF,
2022,Encerramento do projeto de ensino "Fada Madrinha",Organização,Promoção de eventos,IF Goiano - Campus Ceres,
2022,VI Ada Lovelace Day,Organização,Promoção de eventos,IF Goiano - Campus Ceres,
2022,Ação do projeto de ensino "Fada Madrinha",Organização,Promoção de eventos,IF Goiano - Campus Ceres,
2022,Cine Debate: filme "Coração de fogo",Organização,Promoção de eventos,IF Goiano - Campus Ceres,
2022,Mulheres in Tech,Participante,Construção humana,Instituto de Informática (UFG),
2022,Por que discutir feminismo no IF Goiano - Campus Ceres?,Participante,Construção humana,Online,
2022,"Mesa Redonda ""Fala,Mulher!""",Participante,Construção humana,Online,
2022,XIII Computer on the Beach,Participante,Divulgação Científica,Itajaí - SC,https://periodicos.univali.br/index.php/acotb/article/view/18841
2022,Acolhimento de Calouras,Organização,Promoção de eventos,IF Goiano - Campus Ceres,
2022,XI Seminário Interno de Iniciação Científica (SIIC),Participante,Divulgação Científica,IF Goiano - Campus Ceres,
2022,Campus Party Goiás,Participante,Capacitação Tecnológica,Goiânia - GO,
2022,XVI Women in Information Technology (WIT),Participante,Divulgação Científica,Niterói - RJ,https://sol.sbc.org.br/index.php/wit/article/view/20859
2021,Episódio 01 do Café com Ciência,Participante,Construção humana,Online,
2021,A força das meninas nas exatas - Programação do Mês da Mulher do IF Goiano,Participante,Construção humana,Online,
2021,Live #11 do Metabotix,Participante,Construção humana,Online,
2021,XIII Computer on the Beach,Participante,Divulgação Científica,Online,https://periodicos.univali.br/index.php/acotb/article/view/17484
2021,A carreira e a escolha profissional (Tutor UTFPR),Participante,Construção humana,Online,
2022,Acolhimento de Calouras,Organização,Promoção de eventos,Online,
2021,IV Encontro de Licenciaturas e Pesquisa em Educação do IF Goiano,Participante,Divulgação Científica,Online,https://suap.ifgoiano.edu.br/media/documentos/arquivos/ELPED_-_VERSAO_FINAL_PUBLICACAO.pdf
